TIME STAMP,SET POINT,OFFSET,MISSING DATA POINTS,AREA TEMPERATURE,AHU OPERATIONAL STATUS,ACTUATOR OUTPUT,ACTUATOR FEEDBACK,VFD OUTPUT,VFD FEEDBACK
2018-08-12 00:00:01,24.5,0.5,0,25.97,off,10,11,0,0.0
2018-08-12 00:01:03,24.5,0.5,0,26.01,off,10,11,0,0.0
2018-08-12 00:02:05,24.5,0.5,0,26.01,off,10,11,0,0.0
2018-08-12 00:03:07,24.5,0.5,0,26.04,off,10,11,0,0.0
2018-08-12 00:04:09,24.5,0.5,0,26.05,off,10,10,0,0.0
2018-08-12 00:05:11,24.5,0.5,0,26.05,off,10,11,0,0.0
2018-08-12 00:06:13,24.5,0.5,0,26.08,off,10,11,0,0.0
2018-08-12 00:07:15,24.5,0.5,0,26.1,off,10,11,0,0.0
2018-08-12 00:08:18,24.5,0.5,0,26.11,off,10,11,0,0.0
2018-08-12 00:09:20,24.5,0.5,0,26.12,off,10,11,0,0.0
2018-08-12 00:10:22,24.5,0.5,0,26.13,off,10,11,0,0.0
2018-08-12 00:11:24,24.5,0.5,0,26.15,off,10,10,0,0.0
2018-08-12 00:12:26,24.5,0.5,0,26.17,off,10,11,0,0.0
2018-08-12 00:13:28,24.5,0.5,0,26.2,off,10,11,0,0.0
2018-08-12 00:14:31,24.5,0.5,0,26.19,off,10,11,0,0.0
2018-08-12 00:15:33,24.5,0.5,0,26.21,off,10,11,0,0.0
2018-08-12 00:16:35,24.5,0.5,0,26.22,off,10,11,0,0.0
2018-08-12 00:17:37,24.5,0.5,0,26.23,off,10,11,0,0.0
2018-08-12 00:18:39,24.5,0.5,0,26.25,off,10,10,0,0.0
2018-08-12 00:19:41,24.5,0.5,0,26.24,off,10,11,0,0.0
2018-08-12 00:20:43,24.5,0.5,0,26.24,off,10,11,0,0.0
2018-08-12 00:21:45,24.5,0.5,0,26.26,off,10,11,0,0.0
2018-08-12 00:22:48,24.5,0.5,0,26.3,off,10,11,0,0.0
2018-08-12 00:23:50,24.5,0.5,0,26.31,off,10,11,0,0.0
2018-08-12 00:24:52,24.5,0.5,0,26.35,off,10,11,0,0.0
2018-08-12 00:25:54,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:26:56,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:27:58,24.5,0.5,0,26.37,off,10,11,0,0.0
2018-08-12 00:29:00,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:30:02,24.5,0.5,0,26.37,off,10,11,0,0.0
2018-08-12 00:31:05,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:32:07,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:33:09,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:34:11,24.5,0.5,0,26.36,off,10,10,0,0.0
2018-08-12 00:35:13,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 00:36:15,24.5,0.5,0,26.4,on,10,11,0,45.0
2018-08-12 00:37:17,24.5,0.5,0,26.36,on,76,10,45,45.0
2018-08-12 00:38:19,24.5,0.5,0,26.32,on,80,27,47,45.0
2018-08-12 00:39:22,24.5,0.5,0,26.25,on,84,82,49,45.0
2018-08-12 00:40:24,24.5,0.5,0,26.13,on,87,87,50,45.0
2018-08-12 00:41:26,24.5,0.5,0,25.99,on,90,90,50,45.0
2018-08-12 00:42:28,24.5,0.5,0,25.81,on,93,93,50,45.0
2018-08-12 00:43:30,24.5,0.5,0,25.65,on,94,96,50,45.0
2018-08-12 00:44:32,24.5,0.5,0,25.52,on,95,97,50,45.0
2018-08-12 00:45:34,24.5,0.5,0,25.41,on,95,97,50,45.0
2018-08-12 00:46:37,24.5,0.5,0,25.3,on,95,98,50,45.0
2018-08-12 00:47:39,24.5,0.5,0,25.18,on,95,98,50,45.0
2018-08-12 00:48:41,24.5,0.5,0,25.05,on,95,98,50,45.0
2018-08-12 00:49:43,24.5,0.5,0,25.04,on,95,98,50,45.0
2018-08-12 00:50:45,24.5,0.5,0,24.97,on,95,98,50,45.0
2018-08-12 00:51:47,24.5,0.5,0,24.97,on,95,98,50,45.0
2018-08-12 00:52:49,24.5,0.5,0,24.98,on,95,98,50,45.0
2018-08-12 00:53:52,24.5,0.5,0,24.93,on,95,98,50,45.0
2018-08-12 00:54:54,24.5,0.5,0,24.74,on,95,98,50,45.0
2018-08-12 00:55:56,24.5,0.5,0,24.72,on,95,98,50,45.0
2018-08-12 00:56:58,24.5,0.5,0,24.69,on,95,98,50,45.0
2018-08-12 00:58:00,24.5,0.5,0,24.67,on,95,98,50,45.0
2018-08-12 00:59:02,24.5,0.5,0,24.59,on,95,98,50,45.0
2018-08-12 01:00:04,24.5,0.5,0,24.54,on,95,98,50,45.0
2018-08-12 01:01:06,24.5,0.5,0,24.49,on,95,98,50,45.0
2018-08-12 01:02:09,24.5,0.5,0,24.42,on,95,98,50,45.0
2018-08-12 01:03:11,24.5,0.5,0,24.35,on,94,98,50,45.0
2018-08-12 01:04:13,24.5,0.5,0,24.33,on,94,98,50,45.0
2018-08-12 01:05:15,24.5,0.5,0,24.3,on,93,98,49,45.0
2018-08-12 01:06:17,24.5,0.5,0,24.3,on,93,96,49,45.0
2018-08-12 01:07:19,24.5,0.5,0,24.31,on,93,95,49,45.0
2018-08-12 01:08:22,24.5,0.5,0,24.31,on,92,96,49,45.0
2018-08-12 01:09:24,24.5,0.5,0,24.3,on,92,95,49,45.0
2018-08-12 01:10:26,24.5,0.5,0,24.32,on,92,95,49,45.0
2018-08-12 01:11:28,24.5,0.5,0,24.34,on,92,95,49,45.0
2018-08-12 01:12:30,24.5,0.5,0,24.3,on,91,95,48,45.0
2018-08-12 01:13:32,24.5,0.5,0,24.28,on,91,94,48,45.0
2018-08-12 01:14:34,24.5,0.5,0,24.3,on,91,94,48,45.0
2018-08-12 01:15:36,24.5,0.5,0,24.27,on,90,94,48,45.0
2018-08-12 01:16:39,24.5,0.5,0,24.24,on,90,94,48,45.0
2018-08-12 01:17:41,24.5,0.5,0,24.14,on,89,93,47,45.0
2018-08-12 01:18:43,24.5,0.5,0,24.02,on,88,93,47,45.0
2018-08-12 01:19:45,24.5,0.5,0,23.94,on,10,91,33,45.0
2018-08-12 01:20:47,24.5,0.5,0,23.89,on,10,39,33,33.0
2018-08-12 01:21:49,24.5,0.5,0,23.88,on,10,11,33,33.0
2018-08-12 01:22:51,24.5,0.5,0,23.93,on,10,11,33,33.0
2018-08-12 01:23:54,24.5,0.5,0,23.98,on,10,11,33,33.0
2018-08-12 01:24:56,24.5,0.5,0,24.04,on,10,11,33,33.0
2018-08-12 01:25:58,24.5,0.5,0,24.13,on,10,11,33,33.0
2018-08-12 01:27:00,24.5,0.5,0,24.24,on,10,11,33,33.0
2018-08-12 01:28:02,24.5,0.5,0,24.49,on,10,11,33,33.0
2018-08-12 01:29:04,24.5,0.5,0,24.63,on,10,11,33,33.0
2018-08-12 01:30:06,24.5,0.5,0,24.81,on,10,11,33,33.0
2018-08-12 01:31:09,24.5,0.5,0,24.95,on,10,11,33,33.0
2018-08-12 01:32:11,24.5,0.5,0,25.07,on,10,11,33,33.0
2018-08-12 01:33:13,24.5,0.5,0,25.16,on,66,11,42,33.0
2018-08-12 01:34:15,24.5,0.5,0,25.21,on,68,33,43,42.0
2018-08-12 01:35:17,24.5,0.5,0,25.28,on,70,71,44,43.0
2018-08-12 01:36:19,24.5,0.5,0,25.28,on,72,73,45,44.0
2018-08-12 01:37:21,24.5,0.5,0,25.25,on,74,75,46,45.0
2018-08-12 01:38:24,24.5,0.5,0,25.25,on,76,77,46,45.0
2018-08-12 01:39:26,24.5,0.5,0,25.2,on,77,79,47,45.0
2018-08-12 01:40:28,24.5,0.5,0,25.13,on,78,80,48,45.0
2018-08-12 01:41:30,24.5,0.5,0,25.02,on,79,81,48,45.0
2018-08-12 01:42:32,24.5,0.5,0,24.92,on,79,82,49,45.0
2018-08-12 01:43:34,24.5,0.5,0,24.78,on,79,82,49,45.0
2018-08-12 01:44:36,24.5,0.5,0,24.65,on,79,82,49,45.0
2018-08-12 01:45:38,24.5,0.5,0,24.59,on,79,82,49,44.58
2018-08-12 01:46:41,24.5,0.5,0,24.51,off,10,82,0,0.0
2018-08-12 01:47:43,24.5,0.5,0,24.56,off,10,82,0,0.0
2018-08-12 01:48:45,24.5,0.5,0,24.63,off,10,10,0,0.0
2018-08-12 01:49:47,24.5,0.5,0,24.77,off,10,11,0,0.0
2018-08-12 01:50:49,24.5,0.5,0,24.84,off,10,11,0,0.0
2018-08-12 01:51:51,24.5,0.5,0,24.99,off,10,11,0,0.0
2018-08-12 01:52:53,24.5,0.5,0,25.09,off,10,11,0,0.0
2018-08-12 01:53:56,24.5,0.5,0,25.2,off,10,11,0,0.0
2018-08-12 01:54:58,24.5,0.5,0,25.31,off,10,11,0,0.0
2018-08-12 01:56:00,24.5,0.5,0,25.39,off,10,11,0,0.0
2018-08-12 01:57:02,24.5,0.5,0,25.48,off,10,11,0,0.0
2018-08-12 01:58:04,24.5,0.5,0,25.6,off,10,10,0,0.0
2018-08-12 01:59:06,24.5,0.5,0,25.67,off,10,11,0,0.0
2018-08-12 02:00:08,24.5,0.5,0,25.73,off,10,11,0,0.0
2018-08-12 02:01:10,24.5,0.5,0,25.78,off,10,11,0,0.0
2018-08-12 02:02:13,24.5,0.5,0,25.83,off,10,11,0,0.0
2018-08-12 02:03:15,24.5,0.5,0,25.86,off,10,11,0,0.0
2018-08-12 02:04:17,24.5,0.5,0,25.91,off,10,11,0,0.0
2018-08-12 02:05:19,24.5,0.5,0,25.93,off,10,11,0,0.0
2018-08-12 02:06:21,24.5,0.5,0,25.94,off,10,11,0,0.0
2018-08-12 02:07:23,24.5,0.5,0,25.98,off,10,11,0,0.0
2018-08-12 02:08:25,24.5,0.5,0,26.02,off,10,11,0,0.0
2018-08-12 02:09:27,24.5,0.5,0,26.0,off,10,10,0,0.0
2018-08-12 02:10:30,24.5,0.5,0,26.02,off,10,11,0,0.0
2018-08-12 02:11:32,24.5,0.5,0,26.04,off,10,11,0,0.0
2018-08-12 02:12:34,24.5,0.5,0,26.06,off,10,11,0,0.0
2018-08-12 02:13:36,24.5,0.5,0,26.1,off,10,11,0,0.0
2018-08-12 02:14:38,24.5,0.5,0,26.13,off,10,11,0,0.0
2018-08-12 02:15:40,24.5,0.5,0,26.11,off,10,11,0,0.0
2018-08-12 02:16:42,24.5,0.5,0,26.16,off,10,11,0,0.0
2018-08-12 02:17:44,24.5,0.5,0,26.15,off,10,11,0,0.0
2018-08-12 02:18:47,24.5,0.5,0,26.21,off,10,11,0,0.0
2018-08-12 02:19:49,24.5,0.5,0,26.23,off,10,11,0,0.0
2018-08-12 02:20:51,24.5,0.5,0,26.22,off,10,11,0,0.0
2018-08-12 02:21:53,24.5,0.5,0,26.22,off,10,11,0,0.0
2018-08-12 02:22:55,24.5,0.5,0,26.24,off,10,11,0,0.0
2018-08-12 02:23:57,24.5,0.5,0,26.26,off,10,11,0,0.0
2018-08-12 02:24:59,24.5,0.5,0,26.26,off,10,11,0,0.0
2018-08-12 02:26:02,24.5,0.5,0,26.28,off,10,11,0,0.0
2018-08-12 02:27:04,24.5,0.5,0,26.28,off,10,10,0,0.0
2018-08-12 02:28:06,24.5,0.5,0,26.27,off,10,11,0,0.0
2018-08-12 02:29:08,24.5,0.5,0,26.3,off,10,11,0,0.0
2018-08-12 02:30:10,24.5,0.5,0,26.31,off,10,11,0,0.0
2018-08-12 02:31:12,24.5,0.5,0,26.3,off,10,11,0,0.0
2018-08-12 02:32:14,24.5,0.5,0,26.32,off,10,11,0,0.0
2018-08-12 02:33:17,24.5,0.5,0,26.35,off,10,11,0,0.0
2018-08-12 02:34:19,24.5,0.5,0,26.35,off,10,10,0,0.0
2018-08-12 02:35:21,24.5,0.5,0,26.32,off,10,11,0,0.0
2018-08-12 02:36:23,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 02:37:25,24.5,0.5,0,26.36,off,10,11,0,0.0
2018-08-12 02:38:27,24.5,0.5,0,26.38,off,10,11,0,0.0
2018-08-12 02:39:29,24.5,0.5,0,26.39,off,10,11,0,0.0
2018-08-12 02:40:31,24.5,0.5,0,26.4,off,10,11,0,0.0
2018-08-12 02:41:34,24.5,0.5,0,26.39,off,10,11,0,0.0
2018-08-12 02:42:36,24.5,0.5,0,26.42,off,10,11,0,0.0
2018-08-12 02:43:38,24.5,0.5,0,26.44,off,10,11,0,0.0
2018-08-12 02:44:40,24.5,0.5,0,26.42,off,10,11,0,0.0
2018-08-12 02:45:42,24.5,0.5,0,26.44,off,10,11,0,0.0
2018-08-12 02:46:44,24.5,0.5,0,26.47,off,10,11,0,0.0
2018-08-12 02:47:46,24.5,0.5,0,26.47,off,10,11,0,0.0
2018-08-12 02:48:48,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 02:49:51,24.5,0.5,0,26.49,off,10,11,0,0.0
2018-08-12 02:50:53,24.5,0.5,0,26.47,off,10,11,0,0.0
2018-08-12 02:51:55,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 02:52:57,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 02:53:59,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 02:55:01,24.5,0.5,0,26.53,off,10,10,0,0.0
2018-08-12 02:56:04,24.5,0.5,0,26.54,off,10,10,0,0.0
2018-08-12 02:57:06,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 02:58:08,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 02:59:10,24.5,0.5,0,26.54,off,10,11,0,0.0
2018-08-12 03:00:12,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:01:14,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:02:16,24.5,0.5,0,26.52,off,10,11,0,0.0
2018-08-12 03:03:18,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:04:21,24.5,0.5,0,26.52,off,10,11,0,0.0
2018-08-12 03:05:23,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:06:25,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:07:27,24.5,0.5,0,26.52,off,10,11,0,0.0
2018-08-12 03:08:29,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:09:31,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 03:10:33,24.5,0.5,0,26.5,off,10,11,0,0.0
2018-08-12 03:11:36,24.5,0.5,0,26.51,off,10,11,0,0.0
2018-08-12 03:12:38,24.5,0.5,0,26.51,off,10,11,0,0.0
2018-08-12 03:13:40,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:14:42,24.5,0.5,0,26.51,off,10,11,0,0.0
2018-08-12 03:15:44,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:16:46,24.5,0.5,0,26.51,off,10,11,0,0.0
2018-08-12 03:17:48,24.5,0.5,0,26.52,off,10,11,0,0.0
2018-08-12 03:18:50,24.5,0.5,0,26.53,off,10,11,0,0.0
2018-08-12 03:19:52,24.5,0.5,0,26.52,off,10,11,0,0.0
2018-08-12 03:20:55,24.5,0.5,0,26.54,off,10,11,0,0.0
2018-08-12 03:21:57,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:22:59,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:24:01,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:25:03,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:26:05,24.5,0.5,0,26.56,off,10,11,0,0.0
2018-08-12 03:27:07,24.5,0.5,0,26.55,off,10,11,0,0.0
2018-08-12 03:28:10,24.5,0.5,0,26.56,off,10,10,0,0.0
2018-08-12 03:29:12,24.5,0.5,0,26.56,off,10,11,0,0.0
2018-08-12 03:30:14,24.5,0.5,0,26.58,off,10,11,0,0.0
2018-08-12 03:31:16,24.5,0.5,0,26.6,off,10,11,0,0.0
2018-08-12 03:32:18,24.5,0.5,0,26.59,off,10,11,0,0.0
2018-08-12 03:33:20,24.5,0.5,0,26.61,off,10,11,0,0.0
2018-08-12 03:34:22,24.5,0.5,0,26.61,off,10,11,0,0.0
2018-08-12 03:35:25,24.5,0.5,0,26.61,off,10,11,0,0.0
2018-08-12 03:36:27,24.5,0.5,0,26.61,off,10,11,0,0.0
2018-08-12 03:37:29,24.5,0.5,0,26.63,off,10,11,0,0.0
2018-08-12 03:38:31,24.5,0.5,0,26.61,off,10,11,0,0.0
2018-08-12 03:39:33,24.5,0.5,0,26.64,off,10,11,0,0.0
2018-08-12 03:40:35,24.5,0.5,0,26.64,off,10,11,0,0.0
2018-08-12 03:41:37,24.5,0.5,0,26.65,off,10,11,0,0.0
2018-08-12 03:42:40,24.5,0.5,0,26.66,off,10,11,0,0.0
2018-08-12 03:43:42,24.5,0.5,0,26.66,off,10,11,0,0.0
2018-08-12 03:44:44,24.5,0.5,0,26.67,off,10,11,0,0.0
2018-08-12 03:45:46,24.5,0.5,0,26.67,off,10,11,0,0.0
2018-08-12 03:46:48,24.5,0.5,0,26.71,off,10,11,0,0.0
2018-08-12 03:47:50,24.5,0.5,0,26.7,off,10,11,0,0.0
2018-08-12 03:48:52,24.5,0.5,0,26.69,off,10,11,0,0.0
2018-08-12 03:49:54,24.5,0.5,0,26.69,off,10,11,0,0.0
2018-08-12 03:50:57,24.5,0.5,0,26.67,off,10,11,0,0.0
2018-08-12 03:51:59,24.5,0.5,0,26.69,off,10,11,0,0.0
2018-08-12 03:53:01,24.5,0.5,0,26.71,off,10,11,0,0.0
2018-08-12 03:54:03,24.5,0.5,0,26.73,off,10,11,0,0.0
2018-08-12 03:55:05,24.5,0.5,0,26.72,off,10,11,0,0.0
2018-08-12 03:56:07,24.5,0.5,0,26.74,off,10,11,0,0.0
2018-08-12 03:57:09,24.5,0.5,0,26.74,off,10,11,0,0.0
2018-08-12 03:58:11,24.5,0.5,0,26.78,off,10,11,0,0.0
2018-08-12 03:59:13,24.5,0.5,0,26.81,off,10,10,0,0.0
2018-08-12 04:00:16,24.5,0.5,0,26.8,off,10,11,0,0.0
2018-08-12 04:01:18,24.5,0.5,0,26.81,off,10,11,0,0.0
2018-08-12 04:02:20,24.5,0.5,0,26.82,off,10,11,0,0.0
2018-08-12 04:03:22,24.5,0.5,0,26.84,off,10,11,0,0.0
2018-08-12 04:04:24,24.5,0.5,0,26.87,off,10,11,0,0.0
2018-08-12 04:05:26,24.5,0.5,0,26.88,off,10,11,0,0.0
2018-08-12 04:06:28,24.5,0.5,0,26.89,off,10,10,0,0.0
2018-08-12 04:07:31,24.5,0.5,0,26.91,off,10,10,0,0.0
2018-08-12 04:08:33,24.5,0.5,0,26.93,off,10,11,0,0.0
2018-08-12 04:09:35,24.5,0.5,0,26.93,off,10,11,0,0.0
2018-08-12 04:10:37,24.5,0.5,0,26.95,off,10,11,0,0.0
2018-08-12 04:11:39,24.5,0.5,0,26.96,off,10,11,0,0.0
2018-08-12 04:12:41,24.5,0.5,0,26.96,off,10,11,0,0.0
2018-08-12 04:13:43,24.5,0.5,0,26.98,off,10,11,0,0.0
2018-08-12 04:14:45,24.5,0.5,0,26.98,off,10,10,0,0.0
2018-08-12 04:15:48,24.5,0.5,0,27.0,off,10,11,0,0.0
2018-08-12 04:16:50,24.5,0.5,0,27.0,off,10,10,0,0.0
2018-08-12 04:17:52,24.5,0.5,0,27.0,off,10,11,0,0.0
2018-08-12 04:18:54,24.5,0.5,0,27.02,off,10,11,0,0.0
2018-08-12 04:19:56,24.5,0.5,0,27.01,off,10,11,0,0.0
2018-08-12 04:20:58,24.5,0.5,0,27.0,off,10,11,0,0.0
2018-08-12 04:22:00,24.5,0.5,0,27.01,off,10,11,0,0.0
2018-08-12 04:23:02,24.5,0.5,0,27.02,off,10,11,0,0.0
2018-08-12 04:24:05,24.5,0.5,0,27.01,off,10,11,0,0.0
2018-08-12 04:25:07,24.5,0.5,0,27.02,off,10,11,0,0.0
2018-08-12 04:26:09,24.5,0.5,0,27.03,off,10,11,0,0.0
2018-08-12 04:27:11,24.5,0.5,0,27.03,off,10,11,0,0.0
2018-08-12 04:28:13,24.5,0.5,0,27.04,off,10,11,0,0.0
2018-08-12 04:29:15,24.5,0.5,0,27.03,off,10,11,0,0.0
2018-08-12 04:30:17,24.5,0.5,0,27.02,off,10,11,0,0.0
2018-08-12 04:31:19,24.5,0.5,0,27.03,off,10,11,0,0.0
2018-08-12 04:32:22,24.5,0.5,0,27.04,off,10,11,0,0.0
2018-08-12 04:33:24,24.5,0.5,0,27.05,off,10,11,0,0.0
2018-08-12 04:34:26,24.5,0.5,0,27.04,off,10,11,0,0.0
2018-08-12 04:35:28,24.5,0.5,0,27.05,off,10,11,0,0.0
2018-08-12 04:36:30,24.5,0.5,0,27.05,off,10,11,0,0.0
2018-08-12 04:37:32,24.5,0.5,0,27.09,off,10,10,0,0.0
2018-08-12 04:38:34,24.5,0.5,0,27.06,off,10,11,0,0.0
2018-08-12 04:39:36,24.5,0.5,0,27.08,off,10,11,0,0.0
2018-08-12 04:40:39,24.5,0.5,0,27.06,off,10,11,0,0.0
2018-08-12 04:41:41,24.5,0.5,0,27.09,off,10,10,0,0.0
2018-08-12 04:42:43,24.5,0.5,0,27.09,off,10,11,0,0.0
2018-08-12 04:43:45,24.5,0.5,0,27.12,off,10,11,0,0.0
2018-08-12 04:44:47,24.5,0.5,0,27.1,off,10,10,0,0.0
2018-08-12 04:45:49,24.5,0.5,0,27.13,off,10,11,0,0.0
2018-08-12 04:46:51,24.5,0.5,0,27.14,off,10,11,0,0.0
2018-08-12 04:47:53,24.5,0.5,0,27.13,off,10,11,0,0.0
2018-08-12 04:48:56,24.5,0.5,0,27.14,off,10,11,0,0.0
2018-08-12 04:49:58,24.5,0.5,0,27.14,off,10,10,0,0.0
2018-08-12 04:51:00,24.5,0.5,0,27.16,off,10,11,0,0.0
2018-08-12 04:52:02,24.5,0.5,0,27.14,off,10,11,0,0.0
2018-08-12 04:53:04,24.5,0.5,0,27.17,off,10,11,0,0.0
2018-08-12 04:54:06,24.5,0.5,0,27.19,off,10,11,0,0.0
2018-08-12 04:55:08,24.5,0.5,0,27.2,off,10,11,0,0.0
2018-08-12 04:56:10,24.5,0.5,0,27.19,off,10,10,0,0.0
2018-08-12 04:57:13,24.5,0.5,0,27.21,off,10,11,0,0.0
2018-08-12 04:58:15,24.5,0.5,0,27.23,off,10,11,0,0.0
2018-08-12 04:59:17,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:00:19,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:01:21,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:02:23,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:03:25,24.5,0.5,0,27.26,off,10,10,0,0.0
2018-08-12 05:04:27,24.5,0.5,0,27.27,off,10,11,0,0.0
2018-08-12 05:05:30,24.5,0.5,0,27.28,off,10,11,0,0.0
2018-08-12 05:06:32,24.5,0.5,0,27.28,off,10,11,0,0.0
2018-08-12 05:07:34,24.5,0.5,0,27.29,off,10,11,0,0.0
2018-08-12 05:08:36,24.5,0.5,0,27.3,off,10,11,0,0.0
2018-08-12 05:09:38,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:10:40,24.5,0.5,0,27.27,off,10,11,0,0.0
2018-08-12 05:11:42,24.5,0.5,0,27.26,off,10,11,0,0.0
2018-08-12 05:12:44,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:13:47,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:14:49,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:15:51,24.5,0.5,0,27.23,off,10,11,0,0.0
2018-08-12 05:16:53,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:17:55,24.5,0.5,0,27.23,off,10,11,0,0.0
2018-08-12 05:18:57,24.5,0.5,0,27.21,off,10,11,0,0.0
2018-08-12 05:19:59,24.5,0.5,0,27.21,off,10,11,0,0.0
2018-08-12 05:21:02,24.5,0.5,0,27.23,off,10,11,0,0.0
2018-08-12 05:22:04,24.5,0.5,0,27.21,off,10,11,0,0.0
2018-08-12 05:23:06,24.5,0.5,0,27.25,off,10,10,0,0.0
2018-08-12 05:24:08,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:25:10,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:26:12,24.5,0.5,0,27.25,off,10,11,0,0.0
2018-08-12 05:27:14,24.5,0.5,0,27.24,off,10,10,0,0.0
2018-08-12 05:28:16,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:29:19,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:30:21,24.5,0.5,0,27.24,off,10,11,0,0.0
2018-08-12 05:31:23,24.5,0.5,0,27.21,off,10,11,0,0.0
2018-08-12 05:32:25,24.5,0.5,0,27.17,off,10,11,0,0.0
2018-08-12 05:33:27,24.5,0.5,0,27.14,off,10,11,0,0.0
2018-08-12 05:34:29,24.5,0.5,0,27.12,off,10,11,0,0.0
2018-08-12 05:35:31,24.5,0.5,0,27.1,off,10,11,0,0.0
2018-08-12 05:36:34,24.5,0.5,0,27.08,off,10,11,0,0.0
2018-08-12 05:37:36,24.5,0.5,0,27.05,off,10,10,0,0.0
2018-08-12 05:38:38,24.5,0.5,0,27.04,off,10,11,0,0.0
2018-08-12 05:39:40,24.5,0.5,0,27.04,off,10,11,0,0.0
2018-08-12 05:40:42,24.5,0.5,0,27.0,off,10,11,0,0.0
2018-08-12 05:41:44,24.5,0.5,0,27.02,off,10,11,0,0.0
2018-08-12 05:42:46,24.5,0.5,0,27.03,off,10,11,0,0.0
2018-08-12 05:43:48,24.5,0.5,0,27.04,off,10,10,0,0.0
2018-08-12 05:44:51,24.5,0.5,0,27.04,off,10,11,0,0.0
